CAISO 15-Minute Real-Time Locational Marginal Prices ($/megawatt) for Zones
15-minute real-time locational marginal prices for CAISO
Source: EIA collected from CAISO
UTC Timestamp (Interval Ending),Local Timestamp Pacific Time (Interval Beginning),Local Timestamp Pacific Time (Interval Ending),Local Date,Hour Number,NP-15 LMP,SP-15 LMP,ZP-26 LMP,NP-15 (Congestion),SP-15 (Congestion),ZP-26 (Congestion),NP-15 (Energy),SP-15 (Energy),ZP-26 (Energy),NP-15 (Loss),SP-15 (Loss),ZP-26 (Loss)
2021-01-01 08:15:00,2021-01-01 00:00:00,2021-01-01 00:15:00,2021-01-01,1,33.22903,32.77646,33.12662,0.0,0.0,0.0,33.03412,33.03412,33.03412,0.1949,-0.25767,0.0925
2021-01-01 08:30:00,2021-01-01 00:15:00,2021-01-01 00:30:00,2021-01-01,1,31.34914,30.77073,31.05371,0.0,0.0,0.0,31.09725,31.09725,31.09725,0.25189,-0.32652,-0.04354
2021-01-01 08:45:00,2021-01-01 00:30:00,2021-01-01 00:45:00,2021-01-01,1,33.00641,32.528,32.77703,0.0,0.0,0.0,32.7672,32.7672,32.7672,0.2392,-0.2392,0.00983
2021-01-01 09:00:00,2021-01-01 00:45:00,2021-01-01 01:00:00,2021-01-01,1,29.76901,29.18473,29.48572,0.0,0.0,0.0,29.50933,29.50933,29.50933,0.25968,-0.3246,-0.02361
2021-01-01 09:15:00,2021-01-01 01:00:00,2021-01-01 01:15:00,2021-01-01,2,30.77407,30.17173,30.45465,0.0,0.0,0.0,30.42119,30.42119,30.42119,0.35289,-0.24945,0.03346
2021-01-01 09:30:00,2021-01-01 01:15:00,2021-01-01 01:30:00,2021-01-01,2,29.74224,29.13358,29.4188,0.0,0.0,0.0,29.40409,29.40409,29.40409,0.33815,-0.27052,0.0147
2021-01-01 09:45:00,2021-01-01 01:30:00,2021-01-01 01:45:00,2021-01-01,2,29.76781,29.21427,29.47337,0.0,0.0,0.0,29.44393,29.44393,29.44393,0.32388,-0.22966,0.02944
2021-01-01 10:00:00,2021-01-01 01:45:00,2021-01-01 02:00:00,2021-01-01,2,28.59068,28.01626,28.2681,0.0,0.0,0.0,28.2964,28.2964,28.2964,0.29428,-0.28013,-0.0283
2021-01-01 10:15:00,2021-01-01 02:00:00,2021-01-01 02:15:00,2021-01-01,3,32.73943,32.30524,32.48669,0.0,0.0,0.0,32.40244,32.40244,32.40244,0.33699,-0.09721,0.08425
2021-01-01 10:30:00,2021-01-01 02:15:00,2021-01-01 02:30:00,2021-01-01,3,29.82839,29.23578,29.52177,0.0,0.0,0.0,29.48344,29.48344,29.48344,0.34496,-0.24766,0.03833
2021-01-01 10:45:00,2021-01-01 02:30:00,2021-01-01 02:45:00,2021-01-01,3,30.50207,29.95593,30.21844,0.0,0.0,0.0,30.17318,30.17318,30.17318,0.32889,-0.21725,0.04526
2021-01-01 11:00:00,2021-01-01 02:45:00,2021-01-01 03:00:00,2021-01-01,3,29.05475,28.45986,28.72425,0.0,0.0,0.0,28.73862,28.73862,28.73862,0.31612,-0.27876,-0.01437
2021-01-01 11:15:00,2021-01-01 03:00:00,2021-01-01 03:15:00,2021-01-01,4,29.86812,29.2707,29.54575,0.0,0.0,0.0,29.57533,29.57533,29.57533,0.2928,-0.30463,-0.02958
2021-01-01 11:30:00,2021-01-01 03:15:00,2021-01-01 03:30:00,2021-01-01,4,29.64227,29.10172,29.36318,0.0,0.0,0.0,29.37787,29.37787,29.37787,0.2644,-0.27615,-0.01469
2021-01-01 11:45:00,2021-01-01 03:30:00,2021-01-01 03:45:00,2021-01-01,4,30.2884,29.84078,30.0691,0.0,0.0,0.0,30.04206,30.04206,30.04206,0.24634,-0.20128,0.02704
2021-01-01 12:00:00,2021-01-01 03:45:00,2021-01-01 04:00:00,2021-01-01,4,28.80113,28.3466,28.57243,0.0,0.0,0.0,28.58673,28.58673,28.58673,0.2144,-0.24013,-0.01429
2021-01-01 12:15:00,2021-01-01 04:00:00,2021-01-01 04:15:00,2021-01-01,5,28.74549,28.31445,28.55424,0.0,0.0,0.0,28.54567,28.54567,28.54567,0.19982,-0.23122,0.00856
2021-01-01 12:30:00,2021-01-01 04:15:00,2021-01-01 04:30:00,2021-01-01,5,29.15846,28.84515,29.03371,0.0,0.0,0.0,29.01051,29.01051,29.01051,0.14795,-0.16536,0.02321
2021-01-01 12:45:00,2021-01-01 04:30:00,2021-01-01 04:45:00,2021-01-01,5,29.50675,29.23957,29.40105,0.0,0.0,0.0,29.35995,29.35995,29.35995,0.1468,-0.12038,0.0411
2021-01-01 13:00:00,2021-01-01 04:45:00,2021-01-01 05:00:00,2021-01-01,5,29.17974,28.87763,29.05774,0.0,0.0,0.0,29.04902,29.04902,29.04902,0.13072,-0.17139,0.00871
2021-01-01 13:15:00,2021-01-01 05:00:00,2021-01-01 05:15:00,2021-01-01,6,28.74263,28.3856,28.6141,0.0,0.0,0.0,28.56268,28.56268,28.56268,0.17994,-0.17709,0.05141
2021-01-01 13:30:00,2021-01-01 05:15:00,2021-01-01 05:30:00,2021-01-01,6,28.75969,28.41391,28.63109,0.0,0.0,0.0,28.57679,28.57679,28.57679,0.18289,-0.16289,0.0543
2021-01-01 13:45:00,2021-01-01 05:30:00,2021-01-01 05:45:00,2021-01-01,6,30.07461,29.86506,30.0327,0.0,0.0,0.0,29.9369,29.9369,29.9369,0.13771,-0.07185,0.0958
2021-01-01 14:00:00,2021-01-01 05:45:00,2021-01-01 06:00:00,2021-01-01,6,29.21163,29.01376,29.16216,0.0,0.0,0.0,29.09814,29.09814,29.09814,0.11348,-0.08438,0.06402
2021-01-01 14:15:00,2021-01-01 06:00:00,2021-01-01 06:15:00,2021-01-01,7,30.44524,30.43308,30.49691,0.0,0.0,0.0,30.3966,30.3966,30.3966,0.04863,0.03648,0.10031
2021-01-01 14:30:00,2021-01-01 06:15:00,2021-01-01 06:30:00,2021-01-01,7,30.60779,30.62613,30.66894,0.0,0.0,0.0,30.57416,30.57416,30.57416,0.03363,0.05198,0.09478
2021-01-01 14:45:00,2021-01-01 06:30:00,2021-01-01 06:45:00,2021-01-01,7,32.66213,32.72737,32.76324,0.0,0.0,0.0,32.61647,32.61647,32.61647,0.04566,0.1109,0.14677
2021-01-01 15:00:00,2021-01-01 06:45:00,2021-01-01 07:00:00,2021-01-01,7,31.1912,31.1912,31.1912,0.0,0.0,0.0,31.1912,31.1912,31.1912,0.0,0.0,0.0
2021-01-01 15:15:00,2021-01-01 07:00:00,2021-01-01 07:15:00,2021-01-01,8,30.7399,30.22823,30.50234,0.0,0.0,0.0,30.45665,30.45665,30.45665,0.28325,-0.22842,0.04568
2021-01-01 15:30:00,2021-01-01 07:15:00,2021-01-01 07:30:00,2021-01-01,8,30.95637,30.26601,30.56843,0.0,0.0,0.0,30.54704,30.54704,30.54704,0.40933,-0.28103,0.02138
2021-01-01 15:45:00,2021-01-01 07:30:00,2021-01-01 07:45:00,2021-01-01,8,28.94771,27.85636,28.30991,0.0,0.0,0.0,28.34676,28.34676,28.34676,0.60095,-0.4904,-0.03685
2021-01-01 16:00:00,2021-01-01 07:45:00,2021-01-01 08:00:00,2021-01-01,8,21.37696,20.49001,20.81502,0.0,0.0,0.0,20.96808,20.96808,20.96808,0.40888,-0.47807,-0.15307
2021-01-01 16:15:00,2021-01-01 08:00:00,2021-01-01 08:15:00,2021-01-01,9,28.88674,26.96714,27.64548,0.0,0.0,0.0,28.14648,28.14648,28.14648,0.74025,-1.17934,-0.50101
2021-01-01 16:30:00,2021-01-01 08:15:00,2021-01-01 08:30:00,2021-01-01,9,22.06452,20.39274,20.96506,0.0,0.0,0.0,21.51587,21.51587,21.51587,0.54865,-1.12313,-0.55081
2021-01-01 16:45:00,2021-01-01 08:30:00,2021-01-01 08:45:00,2021-01-01,9,19.32112,17.66454,18.22615,0.0,0.0,0.0,18.84619,18.84619,18.84619,0.47492,-1.18166,-0.62004
2021-01-01 17:00:00,2021-01-01 08:45:00,2021-01-01 09:00:00,2021-01-01,9,14.42833,13.00381,13.44483,0.0,0.0,0.0,14.09016,14.09016,14.09016,0.33816,-1.08635,-0.64533
2021-01-01 17:15:00,2021-01-01 09:00:00,2021-01-01 09:15:00,2021-01-01,10,14.83817,13.48291,13.84605,0.0,0.0,0.0,14.52586,14.52586,14.52586,0.31231,-1.04296,-0.67981
2021-01-01 17:30:00,2021-01-01 09:15:00,2021-01-01 09:30:00,2021-01-01,10,15.58179,14.14502,14.50803,0.0,0.0,0.0,15.25234,15.25234,15.25234,0.32945,-1.10732,-0.74431
2021-01-01 17:45:00,2021-01-01 09:30:00,2021-01-01 09:45:00,2021-01-01,10,14.74399,12.86924,11.18807,0.49506,0.0,-2.01737,13.95039,13.95039,13.95039,0.29854,-1.08116,-0.74495
2021-01-01 18:00:00,2021-01-01 09:45:00,2021-01-01 10:00:00,2021-01-01,10,-0.01043,-0.00952,-0.0097,2e-05,0.0,2e-05,-0.01027,-0.01027,-0.01027,-0.00019,0.00075,0.00055
2021-01-01 18:15:00,2021-01-01 10:00:00,2021-01-01 10:15:00,2021-01-01,11,16.96156,15.00849,16.03641,0.56318,0.0,0.75091,16.10526,16.10526,16.10526,0.29312,-1.09677,-0.81976
2021-01-01 18:30:00,2021-01-01 10:15:00,2021-01-01 10:30:00,2021-01-01,11,16.27309,14.21734,12.43056,0.61326,0.0,-2.09281,15.37841,15.37841,15.37841,0.28142,-1.16107,-0.85504
2021-01-01 18:45:00,2021-01-01 10:30:00,2021-01-01 10:45:00,2021-01-01,11,16.63487,14.49017,12.68266,0.61983,0.0,-2.14515,15.7041,15.7041,15.7041,0.31094,-1.21393,-0.87629
2021-01-01 19:00:00,2021-01-01 10:45:00,2021-01-01 11:00:00,2021-01-01,11,12.4881,10.89124,9.21957,0.40874,0.0,-1.93636,11.86927,11.86927,11.86927,0.21009,-0.97803,-0.71334
2021-01-01 19:15:00,2021-01-01 11:00:00,2021-01-01 11:15:00,2021-01-01,12,9.10326,8.03371,8.5786,0.29078,0.0,0.39105,8.69167,8.69167,8.69167,0.12081,-0.65796,-0.50412
2021-01-01 19:30:00,2021-01-01 11:15:00,2021-01-01 11:30:00,2021-01-01,12,13.97021,12.3092,13.15047,0.45989,0.0,0.59786,13.30149,13.30149,13.30149,0.20883,-0.99229,-0.74887
2021-01-01 19:45:00,2021-01-01 11:30:00,2021-01-01 11:45:00,2021-01-01,12,9.13105,8.03737,8.58967,0.2909,0.0,0.39122,8.70693,8.70693,8.70693,0.13322,-0.66956,-0.50848
2021-01-01 20:00:00,2021-01-01 11:45:00,2021-01-01 12:00:00,2021-01-01,12,0.00191,0.00134,-0.00052,0.00043,0.0,-0.00189,0.00145,0.00145,0.00145,3e-05,-0.00012,-9e-05
