CAISO 15-Minute Real-Time Locational Marginal Prices ($/megawatt) for Zones
15-minute real-time locational marginal prices for CAISO
Source: EIA collected from CAISO
UTC Timestamp (Interval Ending),Local Timestamp Pacific Time (Interval Beginning),Local Timestamp Pacific Time (Interval Ending),Local Date,Hour Number,NP-15 LMP,SP-15 LMP,ZP-26 LMP,NP-15 (Congestion),SP-15 (Congestion),ZP-26 (Congestion),NP-15 (Energy),SP-15 (Energy),ZP-26 (Energy),NP-15 (Loss),SP-15 (Loss),ZP-26 (Loss)
2023-04-01 07:15:00,2023-04-01 00:00:00,2023-04-01 00:15:00,2023-04-01,1,76.96286,66.07382,64.70253,3.58453,-5.9986,-6.9496,75.05199,75.05199,75.05199,-1.67366,-2.97956,-3.39985
2023-04-01 07:30:00,2023-04-01 00:15:00,2023-04-01 00:30:00,2023-04-01,1,57.2998,55.56284,54.94745,0.41096,-0.99113,-1.14826,58.75126,58.75126,58.75126,-1.86242,-2.1973,-2.65556
2023-04-01 07:45:00,2023-04-01 00:30:00,2023-04-01 00:45:00,2023-04-01,1,58.14418,56.77449,56.24001,0.33489,-0.80768,-0.93573,59.76974,59.76974,59.76974,-1.96045,-2.18757,-2.59401
2023-04-01 08:00:00,2023-04-01 00:45:00,2023-04-01 01:00:00,2023-04-01,1,51.35964,51.28538,50.89814,0.0,0.0,0.0,53.04652,53.04652,53.04652,-1.68688,-1.76114,-2.14838
2023-04-01 08:15:00,2023-04-01 01:00:00,2023-04-01 01:15:00,2023-04-01,2,60.14556,58.1486,57.75665,0.36596,-0.89337,-1.03329,61.47003,61.47003,61.47003,-1.69043,-2.42807,-2.68009
2023-04-01 08:30:00,2023-04-01 01:15:00,2023-04-01 01:30:00,2023-04-01,2,58.22365,57.63644,57.38477,0.0,0.0,0.0,59.91936,59.91936,59.91936,-1.69572,-2.28293,-2.53459
2023-04-01 08:45:00,2023-04-01 01:30:00,2023-04-01 01:45:00,2023-04-01,2,52.55949,52.73932,52.24342,0.0,0.0,0.0,54.49402,54.49402,54.49402,-1.93454,-1.75471,-2.2506
2023-04-01 09:00:00,2023-04-01 01:45:00,2023-04-01 02:00:00,2023-04-01,2,50.09463,50.59438,49.98011,0.0,0.0,0.0,52.05719,52.05719,52.05719,-1.96256,-1.46281,-2.07708
2023-04-01 09:15:00,2023-04-01 02:00:00,2023-04-01 02:15:00,2023-04-01,3,53.95491,53.95491,53.95491,0.0,0.0,0.0,53.95491,53.95491,53.95491,0.0,0.0,0.0
2023-04-01 09:30:00,2023-04-01 02:15:00,2023-04-01 02:30:00,2023-04-01,3,56.23384,56.23384,56.23384,0.0,0.0,0.0,56.23384,56.23384,56.23384,0.0,0.0,0.0
